id,label,comment,subPropertyOf,equivalentProperty,subproperties,domainIncludes,rangeIncludes,inverseOf,supersedes,supersededBy,isPartOf
https://schema.org/about,about,コンテンツの主題。,,,https://schema.org/mainEntity,"https://schema.org/CommunicateAction, https://schema.org/CreativeWork, https://schema.org/Event",https://schema.org/Thing,https://schema.org/subjectOf,,,
https://schema.org/abridged,abridged,書籍が抄訳版であるかどうかを示します。,,,,https://schema.org/Book,https://schema.org/Boolean,,,,
https://schema.org/abstract,abstract,"抄録は、<a class=""localLink"" href=""https://schema.org/CreativeWork"">CreativeWork</a> を要約する短い説明です。",,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accelerationTime,accelerationTime,"車両を指定された初期速度から指定された目標速度まで加速するのに要する時間。<br/><br/>

一般的な単位コード: 秒の場合はSEC<br/><br/>

<ul>
<li>注：残念ながら、秒/0..100 km/hまたは秒/0..60 mphに対する標準的な単位コードはありません。「SEC」を秒に使用し、<a class=""localLink"" href=""https://schema.org/name"">name</a>の<a class=""localLink"" href=""https://schema.org/QuantitativeValue"">QuantitativeValue</a>内に速度を示すか、0..60 mphまたは0..100 km/hの<a class=""localLink"" href=""https://schema.org/QuantitativeValue"">QuantitativeValue</a>を持つ<a class=""localLink"" href=""https://schema.org/valueReference"">valueReference</a>を使用して基準速度を指定してください。</li>
</ul>",,,,https://schema.org/Vehicle,https://schema.org/QuantitativeValue,,,,
https://schema.org/acceptedAnswer,acceptedAnswer,質問/回答サイトで最良のものとして受け入れられた回答(たち)。サイトによって選定方法は異なり、例えばコミュニティの意見や質問者の見解に基づいて決定されることがあります。,https://schema.org/suggestedAnswer,,,https://schema.org/Question,"https://schema.org/Answer, https://schema.org/ItemList",,,,
https://schema.org/acceptedOffer,acceptedOffer,注文に含まれる提案（例：製品、数量、価格の組み合わせ）,,,,https://schema.org/Order,https://schema.org/Offer,,,,
https://schema.org/acceptedPaymentMethod,acceptedPaymentMethod,このオファーに対して出品者が受け付ける支払い方法(s)。,,,,"https://schema.org/Demand, https://schema.org/Offer","https://schema.org/LoanOrCredit, https://schema.org/PaymentMethod",,,,
https://schema.org/acceptsReservations,acceptsReservations,FoodEstablishmentが予約を受け付けるかどうかを示します。値はBoolean、予約ができるURL、または（後方互換性のため）文字列「<code>Yes</code>」または「<code>No</code>」となります。,,,,https://schema.org/FoodEstablishment,"https://schema.org/Boolean, https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/accessCode,accessCode,パスワード、PIN、または配達に必要なアクセスコード（例：ロッカーからのもの）。,,,,https://schema.org/DeliveryEvent,https://schema.org/Text,,,,
https://schema.org/accessMode,accessMode,"人間の感覚知覚システムまたは、人が情報を処理または知覚する認知能力。期待される値には、auditory、tactile、textual、visual、colorDependent、chartOnVisual、chemOnVisual、diagramOnVisual、mathOnVisual、musicOnVisual、textOnVisual が含まれます。",,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessModeSufficient,accessModeSufficient,リソースのすべての知的コンテンツを理解するのに十分な、単一または組み合わせのaccessModesのリスト。想定される値には、auditory、tactile、textual、visualが含まれます。,,,,https://schema.org/CreativeWork,https://schema.org/ItemList,,,,
https://schema.org/accessibilityAPI,accessibilityAPI,"リソースが参照されているアクセシビリティAPI（<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wikiは可能な値をリストしています</a>）と互換性があることを示します。",,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilityControl,accessibilityControl,"記述されたリソースを完全に制御するのに十分な入力方法を特定します (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki に可能な値がリストされています</a>)。",,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilityFeature,accessibilityFeature,"リソースのコンテンツ機能（アクセシブルなメディア、代替案、アクセシビリティのためのサポートされている拡張機能など）（<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki は可能な値をリストしています</a>）。",,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilityHazard,accessibilityHazard,"記述されたリソースの特徴で、一部のユーザーにとって生理的に危険なものです。WCAG 2.0 ガイドライン 2.3 に関連します (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki は可能な値をリストしています</a>)。",,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accessibilitySummary,accessibilitySummary,特定のアクセシビリティ機能または欠如に関する、人間が読める要約で、他のアクセシビリティメタデータと一貫性がありながら、「短い説明は存在するが、非視覚ユーザーには長い説明が必要になる」や「短い説明は存在し、長い説明は必要ない」といったニュアンスを表現するものです。,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/accommodationCategory,accommodationCategory,"<a class=""localLink"" href=""https://schema.org/Accommodation"">Accommodation</a>のカテゴリーで、不動産慣例に従います（例：RESO。推奨値については、<a href=""https://ddwiki.reso.org/display/DDW17/PropertySubType+Field"">PropertySubType</a>および<a href=""https://ddwiki.reso.org/display/DDW17/PropertyType+Field"">PropertyType</a>フィールドを参照）。",https://schema.org/category,,,https://schema.org/Accommodation,https://schema.org/Text,,,,
https://schema.org/accommodationFloorPlan,accommodationFloorPlan,"ある<a class=""localLink"" href=""https://schema.org/Accommodation"">Accommodation</a>のフロアプラン。",,,,"https://schema.org/Accommodation, https://schema.org/Residence",https://schema.org/FloorPlan,,,,
https://schema.org/accountId,accountId,支払いを適用するアカウントの識別子です。,https://schema.org/identifier,,,https://schema.org/Invoice,https://schema.org/Text,,,,
https://schema.org/accountMinimumInflow,accountMinimumInflow,毎月支払う必要のある最低金額。,,,,https://schema.org/BankAccount,https://schema.org/MonetaryAmount,,,,
https://schema.org/accountOverdraftLimit,accountOverdraftLimit,口座残高がゼロに達した場合、金融機関からの信用供与が「口座赤字」です。口座赤字により、個人は口座に資金がなくても引き出しを続けることができます。基本的に銀行は、人々に一定額の資金を借りることを許可しています。,,,,https://schema.org/BankAccount,https://schema.org/MonetaryAmount,,,,
https://schema.org/accountablePerson,accountablePerson,CreativeWorkに対して法的責任を負う人物を指定します。,,,,https://schema.org/CreativeWork,https://schema.org/Person,,,,
https://schema.org/acquireLicensePage,acquireLicensePage,現在のアイテムのライセンスが購入またはその他の方法でどのように入手できるかを説明するページを示します。,https://schema.org/usageInfo,,,https://schema.org/CreativeWork,"https://schema.org/CreativeWork, https://schema.org/URL",,,,
https://schema.org/acquiredFrom,acquiredFrom,製品が購入された組織または個人。,,,,https://schema.org/OwnershipInfo,"https://schema.org/Organization, https://schema.org/Person",,,,
https://schema.org/acrissCode,acrissCode,"ACRISS車両分類コードは、多くのレンタカー会社で使用されている車両分類コードです。ACRISSは、Association of Car Rental Industry Systems and Standardsの略です。",,,,"https://schema.org/BusOrCoach, https://schema.org/Car",https://schema.org/Text,,,,
https://schema.org/actionAccessibilityRequirement,actionAccessibilityRequirement,アクションを実行するために満たす必要のある要件のセットです。複数の値が指定されている場合、1つの要件セットを満たすことでアクションを実行できます。,,,,https://schema.org/ConsumeAction,https://schema.org/ActionAccessSpecification,,,,
https://schema.org/actionApplication,actionApplication,リクエストを完了できるアプリケーション。,,,,https://schema.org/EntryPoint,https://schema.org/SoftwareApplication,,https://schema.org/application,,
https://schema.org/actionOption,actionOption,オブジェクトのサブプロパティ。このアクションの対象となるオプション。,https://schema.org/object,,,https://schema.org/ChooseAction,"https://schema.org/Text, https://schema.org/Thing",,https://schema.org/option,,
https://schema.org/actionPlatform,actionPlatform,指定されたURLに対してアクションを実行できる高レベルのプラットフォーム。特定のアプリケーションまたはオペレーティングシステムインスタンスを指定するには、actionApplicationを使用してください。,,,,https://schema.org/EntryPoint,"https://schema.org/Text, https://schema.org/URL",,,,
https://schema.org/actionStatus,actionStatus,アクションの現在の状態を示します。,,,,https://schema.org/Action,https://schema.org/ActionStatusType,,,,
https://schema.org/actionableFeedbackPolicy,actionableFeedbackPolicy,"<a class=""localLink"" href=""https://schema.org/NewsMediaOrganization"">NewsMediaOrganization</a>またはその他のニュース関連の<a class=""localLink"" href=""https://schema.org/Organization"">Organization</a>にとって、世論との関わり合い活動（ニュースメディアの場合は報道機関の）、についての方針表明。これには、報道の決定、報道、および出版後の活動において、世論をデジタルまたはその他の方法で巻き込むことが含まれます。",https://schema.org/publishingPrinciples,,,"https://schema.org/NewsMediaOrganization, https://schema.org/Organization","https://schema.org/CreativeWork, https://schema.org/URL",,,,
https://schema.org/activeIngredient,activeIngredient,有効成分、通常は化学化合物および/または生物学的物質。,,,,"https://schema.org/DietarySupplement, https://schema.org/Drug, https://schema.org/DrugStrength, https://schema.org/Substance",https://schema.org/Text,,,,
https://schema.org/activityDuration,activityDuration,活動に従事する時間の長さ。,,,,https://schema.org/ExercisePlan,"https://schema.org/Duration, https://schema.org/QuantitativeValue",,,,
https://schema.org/activityFrequency,activityFrequency,その活動にどのくらいの頻度で取り組むべきか。,,,,https://schema.org/ExercisePlan,"https://schema.org/QuantitativeValue, https://schema.org/Text",,,,
https://schema.org/actor,actor,俳優、例えばテレビ、ラジオ、映画、ビデオゲームなど、またはイベント内。俳優は個々のアイテム、またはシリーズ、エピソード、クリップに関連付けられることがあります。,,,https://schema.org/readBy,"https://schema.org/Clip, https://schema.org/CreativeWorkSeason, https://schema.org/Episode, https://schema.org/Event, https://schema.org/Movie, https://schema.org/MovieSeries, https://schema.org/RadioSeries, https://schema.org/TVSeries, https://schema.org/VideoGame, https://schema.org/VideoGameSeries, https://schema.org/VideoObject",https://schema.org/Person,,https://schema.org/actors,,
https://schema.org/actors,actors,俳優、例えばテレビ、ラジオ、映画、ビデオゲームなど。俳優は個々のアイテム、またはシリーズ、エピソード、クリップに関連付けられることがあります。,,,,"https://schema.org/Clip, https://schema.org/Episode, https://schema.org/Movie, https://schema.org/MovieSeries, https://schema.org/RadioSeries, https://schema.org/TVSeries, https://schema.org/VideoGame, https://schema.org/VideoGameSeries, https://schema.org/VideoObject",https://schema.org/Person,,,https://schema.org/actor,
https://schema.org/addOn,addOn,最初の基本オファーと組み合わせてのみ入手可能な追加のオファー（例：追加料金で利用可能なサプリメントや延長など）。,,,,https://schema.org/Offer,https://schema.org/Offer,,,,
https://schema.org/additionalName,additionalName,人物の追加の名前は、ミドルネームとして使用できます。,,,,https://schema.org/Person,https://schema.org/Text,,,,
https://schema.org/additionalNumberOfGuests,additionalNumberOfGuests,はいと回答する場合、招待者以外に参加するゲストの人数。,,,,https://schema.org/RsvpAction,https://schema.org/Number,,,,
https://schema.org/additionalProperty,additionalProperty,"エンティティの追加特性を表すプロパティと値のペア。例えば、製品機能や、schema.orgに一致するプロパティがない別の特性などです。<br/><br/>

注：パブリッシャーは、特定のschema.orgプロパティ（例：https://schema.org/width、https://schema.org/color、https://schema.org/gtin13、…）を使用するように設計されたアプリケーションは、通常、そのようなデータがこれらのプロパティを使用して提供されることを期待し、汎用的なプロパティ/値メカニズムを使用することを期待しないことに注意する必要があります。",,,,"https://schema.org/Place, https://schema.org/Product, https://schema.org/QualitativeValue, https://schema.org/QuantitativeValue",https://schema.org/PropertyValue,,,,
https://schema.org/additionalType,additionalType,アイテムの追加のタイプで、通常はマイクロデータ構文で外部ボキャブラリーからのより具体的なタイプを追加するために使用されます。これは、何かと、その何かが属するクラスとの関係です。RDFa構文では、複数のタイプには、ネイティブのRDFa構文である「typeof」属性を使用する方が適切です。Schema.orgツールは、追加のタイプ、特に外部で定義されたタイプについて、理解が弱い場合があります。,https://schema.org/http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,,https://schema.org/Thing,https://schema.org/URL,,,,
https://schema.org/additionalVariable,additionalVariable,患者に伝える必要のある、運動処方のあらゆる追加要素。これには、運動の順序、運動の反復回数、定量的な距離、経時的な漸進性などが含まれます。,,,,https://schema.org/ExercisePlan,https://schema.org/Text,,,,
https://schema.org/address,address,商品の物理的な住所。,,,,"https://schema.org/GeoCoordinates, https://schema.org/GeoShape, https://schema.org/Organization, https://schema.org/Person, https://schema.org/Place","https://schema.org/PostalAddress, https://schema.org/Text",,,,
https://schema.org/addressCountry,addressCountry,"国。例えば、USA。また、2文字の<a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 国コード</a>も提供できます。",,,,"https://schema.org/DefinedRegion, https://schema.org/GeoCoordinates, https://schema.org/GeoShape, https://schema.org/PostalAddress","https://schema.org/Country, https://schema.org/Text",,,,
https://schema.org/addressLocality,addressLocality,"住所が存在する地域、およびその地域が存在する地方。例えば、Mountain View。",,,,https://schema.org/PostalAddress,https://schema.org/Text,,,,
https://schema.org/addressRegion,addressRegion,"地域が位置する国と、その地域が含まれる場所。例えば、カリフォルニアや、適切な一次レベルの<a href=""https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country"">行政区分</a>など。",,,,"https://schema.org/DefinedRegion, https://schema.org/PostalAddress",https://schema.org/Text,,,,
https://schema.org/administrationRoute,administrationRoute,この薬を投与できる経路、例：'oral'。,,,,https://schema.org/Drug,https://schema.org/Text,,,,
https://schema.org/advanceBookingRequirement,advanceBookingRequirement,オファーを受け入れてから、リソースまたはサービスの実際の利用までの時間。,,,,"https://schema.org/Demand, https://schema.org/Offer",https://schema.org/QuantitativeValue,,,,
https://schema.org/adverseOutcome,adverseOutcome,この治療法における起こりうる合併症および/または副作用。有害事象が重篤である（死亡、障害、または永続的な損傷をもたらす、入院を必要とする、または生命を脅かす、または直ちに医療処置を必要とする）ことが判明した場合は、seriouseAdverseOutcomeとしてタグ付けしてください。,,,,"https://schema.org/MedicalDevice, https://schema.org/TherapeuticProcedure",https://schema.org/MedicalEntity,,,,
https://schema.org/affectedBy,affectedBy,検査結果に影響を与える薬。,,,,https://schema.org/MedicalTest,https://schema.org/Drug,,,,
https://schema.org/affiliation,affiliation,この人物が所属している組織。例えば、学校/大学、クラブ、またはチームなど。,https://schema.org/memberOf,,,https://schema.org/Person,https://schema.org/Organization,,,,
https://schema.org/afterMedia,afterMedia,この方向を実行した後の状況を表すメディアオブジェクト。,,,,https://schema.org/HowToDirection,"https://schema.org/MediaObject, https://schema.org/URL",,,,
https://schema.org/agent,agent,行為の直接的な実行者または主体（生物または無生物）。例：<em>John</em>が本を書いた。,,,,https://schema.org/Action,"https://schema.org/Organization, https://schema.org/Person",,,,
https://schema.org/aggregateRating,aggregateRating,アイテムのレビューまたは評価の集計に基づいた全体的な評価。,,,,"https://schema.org/Brand, https://schema.org/CreativeWork, https://schema.org/Event, https://schema.org/Offer, https://schema.org/Organization, https://schema.org/Place, https://schema.org/Product, https://schema.org/Service",https://schema.org/AggregateRating,,,,
https://schema.org/aircraft,aircraft,"航空機の種類（例：「Boeing 747」）。",,,,https://schema.org/Flight,"https://schema.org/Text, https://schema.org/Vehicle",,,,
https://schema.org/album,album,音楽アルバム。,,,,https://schema.org/MusicGroup,https://schema.org/MusicAlbum,,https://schema.org/albums,,
https://schema.org/albumProductionType,albumProductionType,アルバムのコンテンツの種類による分類：サウンドトラック、ライブアルバム、スタジオアルバムなど。,,,,https://schema.org/MusicAlbum,https://schema.org/MusicAlbumProductionType,,,,
https://schema.org/albumRelease,albumRelease,このアルバムのリリース。,,,,https://schema.org/MusicAlbum,https://schema.org/MusicRelease,https://schema.org/releaseOf,,,
https://schema.org/albumReleaseType,albumReleaseType,このアルバムのリリース形態：シングル、EP、またはアルバム。,,,,https://schema.org/MusicAlbum,https://schema.org/MusicAlbumReleaseType,,,,
https://schema.org/albums,albums,音楽アルバムのコレクション。,,,,https://schema.org/MusicGroup,https://schema.org/MusicAlbum,,,https://schema.org/album,
https://schema.org/alcoholWarning,alcoholWarning,この薬を服用中にアルコールを摂取することに関する、あらゆる予防措置、指導、禁忌など。,,,,https://schema.org/Drug,https://schema.org/Text,,,,
https://schema.org/algorithm,algorithm,スコアを計算するためのアルゴリズムまたはルール。,,,,https://schema.org/MedicalRiskScore,https://schema.org/Text,,,,
https://schema.org/alignmentType,alignmentType,"学習リソースとフレームワークノード間のアライメントのカテゴリ。推奨値には、'requires'、'textComplexity'、'readingLevel'、および 'educationalSubject' が含まれます。",,,,https://schema.org/AlignmentObject,https://schema.org/Text,,,,
https://schema.org/alternateName,alternateName,アイテムのエイリアスです。,,,,https://schema.org/Thing,https://schema.org/Text,,,,
https://schema.org/alternativeHeadline,alternativeHeadline,CreativeWorkの副タイトル。,,,,https://schema.org/CreativeWork,https://schema.org/Text,,,,
https://schema.org/alumni,alumni,組織の卒業生/関係者。,,,,"https://schema.org/EducationalOrganization, https://schema.org/Organization",https://schema.org/Person,https://schema.org/alumniOf,,,
https://schema.org/alumniOf,alumniOf,その人が卒業生である組織。,,,,https://schema.org/Person,"https://schema.org/EducationalOrganization, https://schema.org/Organization",https://schema.org/alumni,,,
https://schema.org/amenityFeature,amenityFeature,宿泊施設の設備の特徴（例：特性またはサービス）。この一般的なプロパティは、その設備が主要な宿泊施設のオファーに含まれているか、追加料金で利用可能かについて言及しません。,,,,"https://schema.org/Accommodation, https://schema.org/FloorPlan, https://schema.org/LodgingBusiness, https://schema.org/Place",https://schema.org/LocationFeatureSpecification,,,,
https://schema.org/amount,amount,金額。,,,,"https://schema.org/DatedMoneySpecification, https://schema.org/InvestmentOrDeposit, https://schema.org/LoanOrCredit, https://schema.org/MonetaryGrant, https://schema.org/MoneyTransfer","https://schema.org/MonetaryAmount, https://schema.org/Number",,,,
https://schema.org/amountOfThisGood,amountOfThisGood,オファーに含まれる商品の数量。,,,,https://schema.org/TypeAndQuantityNode,https://schema.org/Number,,,,
https://schema.org/announcementLocation,announcementLocation,"SpecialAnnouncementに関連付けられた特定の<a class=""localLink"" href=""https://schema.org/CivicStructure"">CivicStructure</a>または<a class=""localLink"" href=""https://schema.org/LocalBusiness"">LocalBusiness</a>を示します。例えば、特定の検査施設や特別な営業時間を持つ事業所などです。より広い地理的範囲（地域全体の隔離など）の場合は、<a class=""localLink"" href=""https://schema.org/spatialCoverage"">spatialCoverage</a>を使用してください。",https://schema.org/spatialCoverage,,,https://schema.org/SpecialAnnouncement,"https://schema.org/CivicStructure, https://schema.org/LocalBusiness",,,,
https://schema.org/annualPercentageRate,annualPercentageRate,ローン期間にわたる資金の実際の年間コストを単一のパーセンテージ数値で表した、借入（または投資によって生み出される）にかかる年利。これには、取引に関連するあらゆる手数料または追加費用が含まれます。,,,,https://schema.org/FinancialProduct,"https://schema.org/Number, https://schema.org/QuantitativeValue",,,,
https://schema.org/answerCount,answerCount,この質問が受け取った回答の数。,,,,https://schema.org/Question,https://schema.org/Integer,,,,
https://schema.org/answerExplanation,answerExplanation,Answerに関する段階的な説明、または完全な解説。このAnswerがどのように達成されたかの概要を説明したり、それについてより広範な明確化や声明を含めることができます。,,,,https://schema.org/Answer,"https://schema.org/Comment, https://schema.org/WebContent",,,,
https://schema.org/antagonist,antagonist,特定の筋肉の作用を打ち消す筋肉。,,,,https://schema.org/Muscle,https://schema.org/Muscle,,,,
https://schema.org/appearance,appearance,"何らかの<a class=""localLink"" href=""https://schema.org/CreativeWork"">CreativeWork</a>における<a class=""localLink"" href=""https://schema.org/Claim"">Claim</a>の発生を示す。",https://schema.org/workExample,,,https://schema.org/Claim,https://schema.org/CreativeWork,,,,
https://schema.org/applicableLocation,applicableLocation,ステータスが適用される場所。,,,,"https://schema.org/DrugCost, https://schema.org/DrugLegalStatus",https://schema.org/AdministrativeArea,,,,
https://schema.org/applicantLocationRequirements,applicantLocationRequirements,応募者が応募できる場所。通常、応募者が物理的なオフィスに出勤する必要がないリモートワークの仕事で使用されます。注：これは、国籍または就労ビザの要件に使用しないでください。,,,,https://schema.org/JobPosting,https://schema.org/AdministrativeArea,,,,
https://schema.org/application,application,リクエストを完了できるアプリケーション。,,,,https://schema.org/EntryPoint,https://schema.org/SoftwareApplication,,,https://schema.org/actionApplication,
https://schema.org/applicationCategory,applicationCategory,"ソフトウェアアプリケーションの種類（例：「Game, Multimedia」）。",,,,https://schema.org/SoftwareApplication,"https://schema.org/Text, https://schema.org/URL",,,,
